,index,latitude,locationid,longitude
0,5013,59.85611111,00AK,151.6963889
1,3013,59.85611111,00AK,151.6963889
2,8013,59.85611111,00AK,151.6963889
3,12013,59.85611111,00AK,151.6963889
4,2013,59.85611111,00AK,151.6963889
5,13013,59.85611111,00AK,151.6963889
6,15013,59.85611111,00AK,151.6963889
7,13,59.85611111,00AK,151.6963889
8,6013,59.85611111,00AK,151.6963889
9,11013,59.85611111,00AK,151.6963889
10,9013,59.85611111,00AK,151.6963889
11,4013,59.85611111,00AK,151.6963889
12,14013,59.85611111,00AK,151.6963889
13,1013,59.85611111,00AK,151.6963889
14,10013,59.85611111,00AK,151.6963889
15,16013,59.85611111,00AK,151.6963889
16,7013,59.85611111,00AK,151.6963889
17,11645,34.86472222,00AL,86.77027778
18,8645,34.86472222,00AL,86.77027778
19,3645,34.86472222,00AL,86.77027778
20,9645,34.86472222,00AL,86.77027778
21,12645,34.86472222,00AL,86.77027778
22,4645,34.86472222,00AL,86.77027778
23,15645,34.86472222,00AL,86.77027778
24,7645,34.86472222,00AL,86.77027778
25,1645,34.86472222,00AL,86.77027778
26,16645,34.86472222,00AL,86.77027778
27,645,34.86472222,00AL,86.77027778
28,13645,34.86472222,00AL,86.77027778
29,2645,34.86472222,00AL,86.77027778
30,6645,34.86472222,00AL,86.77027778
31,5645,34.86472222,00AL,86.77027778
32,14645,34.86472222,00AL,86.77027778
33,10645,34.86472222,00AL,86.77027778
34,13996,34.30555556,00AZ,112.1647222
35,7996,34.30555556,00AZ,112.1647222
36,12996,34.30555556,00AZ,112.1647222
37,8996,34.30555556,00AZ,112.1647222
38,996,34.30555556,00AZ,112.1647222
39,16996,34.30555556,00AZ,112.1647222
40,6996,34.30555556,00AZ,112.1647222
41,4996,34.30555556,00AZ,112.1647222
42,14996,34.30555556,00AZ,112.1647222
43,1996,34.30555556,00AZ,112.1647222
44,5996,34.30555556,00AZ,112.1647222
45,9996,34.30555556,00AZ,112.1647222
46,3996,34.30555556,00AZ,112.1647222
47,10996,34.30555556,00AZ,112.1647222
48,15996,34.30555556,00AZ,112.1647222
49,11996,34.30555556,00AZ,112.1647222
50,2996,34.30555556,00AZ,112.1647222
51,10365,62.94361111,01A,152.27
52,11365,62.94361111,01A,152.27
53,2365,62.94361111,01A,152.27
54,16365,62.94361111,01A,152.27
55,6365,62.94361111,01A,152.27
56,5365,62.94361111,01A,152.27
57,8365,62.94361111,01A,152.27
58,13365,62.94361111,01A,152.27
59,365,62.94361111,01A,152.27
60,3365,62.94361111,01A,152.27
61,7365,62.94361111,01A,152.27
62,9365,62.94361111,01A,152.27
63,14365,62.94361111,01A,152.27
64,12365,62.94361111,01A,152.27
65,4365,62.94361111,01A,152.27
66,1365,62.94361111,01A,152.27
67,15365,62.94361111,01A,152.27
68,4589,32.94583333,01AL,86.51388889
69,1589,32.94583333,01AL,86.51388889
70,2589,32.94583333,01AL,86.51388889
71,10589,32.94583333,01AL,86.51388889
72,12589,32.94583333,01AL,86.51388889
73,5589,32.94583333,01AL,86.51388889
74,13589,32.94583333,01AL,86.51388889
75,14589,32.94583333,01AL,86.51388889
76,8589,32.94583333,01AL,86.51388889
77,589,32.94583333,01AL,86.51388889
78,9589,32.94583333,01AL,86.51388889
79,6589,32.94583333,01AL,86.51388889
80,7589,32.94583333,01AL,86.51388889
81,15589,32.94583333,01AL,86.51388889
82,11589,32.94583333,01AL,86.51388889
83,3589,32.94583333,01AL,86.51388889
84,16589,32.94583333,01AL,86.51388889
85,2588,32.85055556,02A,86.61138889
86,16588,32.85055556,02A,86.61138889
87,8588,32.85055556,02A,86.61138889
88,7588,32.85055556,02A,86.61138889
89,14588,32.85055556,02A,86.61138889
90,588,32.85055556,02A,86.61138889
91,11588,32.85055556,02A,86.61138889
92,12588,32.85055556,02A,86.61138889
93,10588,32.85055556,02A,86.61138889
94,9588,32.85055556,02A,86.61138889
95,5588,32.85055556,02A,86.61138889
96,1588,32.85055556,02A,86.61138889
97,13588,32.85055556,02A,86.61138889
98,3588,32.85055556,02A,86.61138889
99,6588,32.85055556,02A,86.61138889
100,4588,32.85055556,02A,86.61138889
101,15588,32.85055556,02A,86.61138889
102,535,61.87694444,02AK,150.0977778
103,8535,61.87694444,02AK,150.0977778
104,6535,61.87694444,02AK,150.0977778
105,13535,61.87694444,02AK,150.0977778
106,12535,61.87694444,02AK,150.0977778
107,1535,61.87694444,02AK,150.0977778
108,16535,61.87694444,02AK,150.0977778
109,11535,61.87694444,02AK,150.0977778
110,15535,61.87694444,02AK,150.0977778
111,10535,61.87694444,02AK,150.0977778
112,5535,61.87694444,02AK,150.0977778
113,2535,61.87694444,02AK,150.0977778
114,4535,61.87694444,02AK,150.0977778
115,7535,61.87694444,02AK,150.0977778
116,14535,61.87694444,02AK,150.0977778
117,9535,61.87694444,02AK,150.0977778
118,3535,61.87694444,02AK,150.0977778
119,7620,30.37138889,02AL,87.76444444
120,10620,30.37138889,02AL,87.76444444
121,2620,30.37138889,02AL,87.76444444
122,13620,30.37138889,02AL,87.76444444
123,3620,30.37138889,02AL,87.76444444
124,8620,30.37138889,02AL,87.76444444
125,9620,30.37138889,02AL,87.76444444
126,4620,30.37138889,02AL,87.76444444
127,15620,30.37138889,02AL,87.76444444
128,14620,30.37138889,02AL,87.76444444
129,11620,30.37138889,02AL,87.76444444
130,12620,30.37138889,02AL,87.76444444
131,5620,30.37138889,02AL,87.76444444
132,1620,30.37138889,02AL,87.76444444
133,620,30.37138889,02AL,87.76444444
134,16620,30.37138889,02AL,87.76444444
135,6620,30.37138889,02AL,87.76444444
136,2866,34.8225,02AR,92.44444444
137,7866,34.8225,02AR,92.44444444
138,3866,34.8225,02AR,92.44444444
139,4866,34.8225,02AR,92.44444444
140,15866,34.8225,02AR,92.44444444
141,13866,34.8225,02AR,92.44444444
142,6866,34.8225,02AR,92.44444444
143,11866,34.8225,02AR,92.44444444
144,8866,34.8225,02AR,92.44444444
145,9866,34.8225,02AR,92.44444444
146,16866,34.8225,02AR,92.44444444
147,10866,34.8225,02AR,92.44444444
148,12866,34.8225,02AR,92.44444444
149,14866,34.8225,02AR,92.44444444
150,866,34.8225,02AR,92.44444444
151,5866,34.8225,02AR,92.44444444
152,1866,34.8225,02AR,92.44444444
153,11668,31.73611111,04A,86.26222222
154,13668,31.73611111,04A,86.26222222
155,5668,31.73611111,04A,86.26222222
156,14668,31.73611111,04A,86.26222222
157,9668,31.73611111,04A,86.26222222
158,1668,31.73611111,04A,86.26222222
159,8668,31.73611111,04A,86.26222222
160,7668,31.73611111,04A,86.26222222
161,15668,31.73611111,04A,86.26222222
162,2668,31.73611111,04A,86.26222222
163,668,31.73611111,04A,86.26222222
164,3668,31.73611111,04A,86.26222222
165,12668,31.73611111,04A,86.26222222
166,4668,31.73611111,04A,86.26222222
167,6668,31.73611111,04A,86.26222222
168,10668,31.73611111,04A,86.26222222
169,16668,31.73611111,04A,86.26222222
170,13335,61.66861111,05AK,149.1875
171,15335,61.66861111,05AK,149.1875
172,7335,61.66861111,05AK,149.1875
173,3335,61.66861111,05AK,149.1875
174,11335,61.66861111,05AK,149.1875
175,335,61.66861111,05AK,149.1875
176,1335,61.66861111,05AK,149.1875
177,16335,61.66861111,05AK,149.1875
178,5335,61.66861111,05AK,149.1875
179,10335,61.66861111,05AK,149.1875
180,4335,61.66861111,05AK,149.1875
181,2335,61.66861111,05AK,149.1875
182,8335,61.66861111,05AK,149.1875
