,index,latitude,locationid,longitude,year,costs,trainees_total,trainees_pass
0,5013,59.85611111,00AK,151.6963889,2000,4970,24462,435
1,3013,59.85611111,00AK,151.6963889,2001,1334,16940,95
2,8013,59.85611111,00AK,151.6963889,2002,4878,56210,60
3,12013,59.85611111,00AK,151.6963889,2003,1758,25752,112
4,2013,59.85611111,00AK,151.6963889,2004,4005,56430,162
5,13013,59.85611111,00AK,151.6963889,2005,78,24444,190
6,15013,59.85611111,00AK,151.6963889,2006,4545,32470,35
7,13,59.85611111,00AK,151.6963889,2007,1480,7020,81
8,6013,59.85611111,00AK,151.6963889,2008,1025,10564,48
9,11013,59.85611111,00AK,151.6963889,2009,1952,92565,9
10,9013,59.85611111,00AK,151.6963889,2010,4090,10530,630
11,4013,59.85611111,00AK,151.6963889,2011,28,43016,9
12,14013,59.85611111,00AK,151.6963889,2012,525,19584,168
13,1013,59.85611111,00AK,151.6963889,2013,895,10064,160
14,10013,59.85611111,00AK,151.6963889,2014,537,73796,459
15,16013,59.85611111,00AK,151.6963889,2015,472,13944,405
16,7013,59.85611111,00AK,151.6963889,2016,4655,24220,544
17,11645,34.86472222,00AL,86.77027778,2000,6090,22761,410
18,8645,34.86472222,00AL,86.77027778,2001,456,18480,51
19,3645,34.86472222,00AL,86.77027778,2002,5625,76076,184
20,9645,34.86472222,00AL,86.77027778,2003,750,34974,90
21,12645,34.86472222,00AL,86.77027778,2004,2133,53262,120
22,4645,34.86472222,00AL,86.77027778,2005,334,10500,470
23,15645,34.86472222,00AL,86.77027778,2006,8631,47685,87
24,7645,34.86472222,00AL,86.77027778,2007,102,15345,558
25,1645,34.86472222,00AL,86.77027778,2008,1565,13414,132
26,16645,34.86472222,00AL,86.77027778,2009,2288,23166,32
27,645,34.86472222,00AL,86.77027778,2010,9230,34560,560
28,13645,34.86472222,00AL,86.77027778,2011,266,41420,21
29,2645,34.86472222,00AL,86.77027778,2012,4615,23392,152
30,6645,34.86472222,00AL,86.77027778,2013,1,4386,140
31,5645,34.86472222,00AL,86.77027778,2014,1896,59736,747
32,14645,34.86472222,00AL,86.77027778,2015,1684,71463,603
33,10645,34.86472222,00AL,86.77027778,2016,2795,45500,664
34,13996,34.30555556,00AZ,112.1647222,2000,2772,48600,230
35,7996,34.30555556,00AZ,112.1647222,2001,898,30975,7
36,12996,34.30555556,00AZ,112.1647222,2002,2736,29491,208
37,8996,34.30555556,00AZ,112.1647222,2003,1692,59247,126
38,996,34.30555556,00AZ,112.1647222,2004,126,12375,78
39,16996,34.30555556,00AZ,112.1647222,2005,352,78540,150
40,6996,34.30555556,00AZ,112.1647222,2006,5562,47260,44
41,4996,34.30555556,00AZ,112.1647222,2007,1884,29655,774
42,14996,34.30555556,00AZ,112.1647222,2008,1505,2014,188
43,1996,34.30555556,00AZ,112.1647222,2009,3224,67518,8
44,5996,34.30555556,00AZ,112.1647222,2010,2320,49572,420
45,9996,34.30555556,00AZ,112.1647222,2011,1736,53352,38
46,3996,34.30555556,00AZ,112.1647222,2012,3215,19176,84
47,10996,34.30555556,00AZ,112.1647222,2013,996,8126,570
48,15996,34.30555556,00AZ,112.1647222,2014,2328,61180,612
49,11996,34.30555556,00AZ,112.1647222,2015,1610,30876,252
50,2996,34.30555556,00AZ,112.1647222,2016,1875,16030,536
51,10365,62.94361111,01A,152.27,2000,1897,31104,360
52,11365,62.94361111,01A,152.27,2001,732,6300,62
53,2365,62.94361111,01A,152.27,2002,6048,72611,196
54,16365,62.94361111,01A,152.27,2003,210,51939,146
